"","top","x","y","ss"
"1",0.314421137911268,202.35577610064,226.215062976468,1424.59835522008
"2",5.31433478500752,202.412748769711,226.213480246862,1424.97393416501
"3",10.3142486899008,202.480591861618,226.21124926106,1425.6804185736
"4",15.3140829051672,202.550440185986,226.211760036275,1425.03048489234
"5",20.313977154551,202.595122860917,226.214152092873,1425.36915506041
"6",25.3139484498512,202.632048458171,226.217585207173,1425.49594031264
"7",30.3139640909986,202.653276631195,226.219321049739,1425.44603248104
"8",35.3138622169523,202.699171369786,226.226081968339,1424.958482016
"9",40.3137484815938,202.735977131387,226.230864801522,1425.29494884078
"10",45.3135838707099,202.811904629286,226.241599664472,1424.49642164263
"11",50.3132899978163,202.877757023449,226.24876003138,1424.47999971267
"12",55.3128646205764,202.903293173642,226.241817863971,1424.21008622402
"13",60.3124596070462,202.935814513542,226.215301407504,1424.38539476336
"14",65.3120849812509,202.979272266704,226.182862434219,1423.96273463005
"15",70.311659537231,203.046576464681,226.133869428487,1424.46069438013
"16",75.3112793359412,203.085239379629,226.10932351567,1424.64965659274
"17",80.3109207385298,203.122123421111,226.087349707001,1424.63124243351
"18",85.3106894734528,203.171832451102,226.058158788885,1424.33524314211
"19",90.3105126081373,203.21335735907,226.036027383545,1424.12236238475
"20",95.3100831873468,203.269509273814,225.999005908877,1423.98666324224
"21",100.309686165328,203.314213626959,225.976103865736,1424.08884022945
"22",105.309257886389,203.348230955657,225.986315848022,1425.0301453496
"23",110.3087978916,203.419702546984,225.980886603282,1424.71471097641
"24",115.30847065135,203.505027579446,225.973020045548,1425.4449875391
"25",120.308108465105,203.573086551634,225.966472648833,1425.61439532629
"26",125.307740191905,203.677184961298,225.957145413155,1425.17274423752
"27",130.307494389432,203.708232461813,225.955339424766,1425.31446567805
"28",135.307340918364,203.747306037442,225.945821028168,1425.55060372377
"29",140.307096434419,203.797023025748,225.92614412092,1425.03942176849
"30",145.306785181665,203.807562611079,225.923217879793,1425.051954632
"31",150.306331119979,203.860984998643,225.91899655867,1425.53775870572
"32",155.305889917238,203.931468879436,225.924067165251,1424.93240839387
"33",160.305364528978,203.973759958886,225.927609736955,1425.01149794683
"34",165.304800791881,204.030186017873,225.928076457005,1424.3291100676
"35",170.304163942884,204.067537579733,225.927579387073,1424.54662705255
"36",175.303475833665,204.119336721308,225.926025601493,1425.12952435157
"37",180.302698325073,204.142441157454,225.9249914589,1424.17734272433
"38",185.302016716444,204.173667800614,225.92179016993,1424.15986253292
"39",190.301372583694,204.26808794653,225.914891839389,1424.48361459263
"40",195.300771161386,204.291647929842,225.915080765846,1424.08683972952
"41",200.300058000401,204.33818867499,225.914111042723,1424.64566399375
"42",205.299434950022,204.439078080156,225.906763653042,1424.75623627717
"43",210.298781798421,204.498325413783,225.903185215455,1424.97591662796
"44",215.298286653413,204.545600547303,225.901993263619,1424.83400863468
"45",220.297787070534,204.585879332099,225.903821683806,1424.93875640821
"46",225.297387272545,204.655994752047,225.904641947926,1423.93432591439
"47",230.297064273271,204.688032087769,225.90298440058,1422.94639455307
"48",235.296754262148,204.72747559562,225.899920669265,1423.28306177543
"49",240.296365971872,204.78497988964,225.896194317551,1422.08354871399
"50",245.296108136874,204.815525395366,225.897220463852,1421.42714815339
"51",250.295820335733,204.828812937081,225.886703985431,1421.07722138528
"52",255.295552803478,204.848695830328,225.869462543468,1421.17366560359
"53",260.295137120223,204.881010135281,225.839466005991,1420.74071821368
"54",265.29469534204,204.926579828146,225.792426373411,1420.63966275674
"55",270.294290651386,204.956813515837,225.755940539645,1421.4992551119
"56",275.293903396924,204.987611793634,225.719895202742,1421.30206080825
"57",280.293687329825,205.044938286528,225.675689680318,1421.34129734165
"58",285.293565093357,205.098653894814,225.646293875311,1422.64371262437
"59",290.293440052307,205.129845638971,225.631670277553,1422.0934702571
"60",295.293422862895,205.186713549342,225.60295374793,1421.34755340039
"61",300.293495627227,205.199138017844,225.574802520149,1420.44509718566
"62",305.293648158508,205.218843847953,225.529770591523,1419.40921931877
"63",310.293763282511,205.239934650641,225.461351948171,1419.60553214025
"64",315.293880856997,205.25482106098,225.411932618501,1419.09563618922
"65",320.293810740998,205.264248312073,225.380251133736,1419.55667282644
"66",325.293816517442,205.268462162694,225.36542644841,1420.11206827927
"67",330.293822305949,205.28359696996,225.324303923112,1419.96225197739
"68",335.293813039019,205.296767478084,225.290079847243,1420.58641919698
"69",340.293835727349,205.294473591199,225.229827276533,1420.90293686372
"70",345.293925013105,205.303299325183,225.162006225488,1420.94638717385
"71",350.293896710741,205.304234305621,225.107337913372,1421.60018728644
"72",355.293759341041,205.301768434575,225.073671375144,1422.1681610479
"73",360.293850825432,205.295409124637,225.01686738822,1421.85741180494
"74",365.293827705149,205.294416496136,224.970746222091,1421.5132459491
"75",370.293876212871,205.293040018778,224.938140644432,1421.37183063468
"76",375.293925108266,205.293135655042,224.91103679667,1420.72976017771
"77",380.294056908588,205.296111844338,224.869558267098,1421.18461557421
"78",385.294290351307,205.279961554142,224.830171091734,1420.1534940836
"79",390.294509531655,205.268737831548,224.810281466084,1419.72615165198
"80",395.294617166035,205.252378018908,224.780402068054,1419.24090607263
"81",400.2948745464,205.217847643498,224.711503588079,1418.16081416074
"82",405.295030715016,205.192047518778,224.698110858257,1417.70095847078
"83",410.295176794889,205.157412540989,224.684801784024,1418.67830214393
"84",415.295440609249,205.113112401771,224.675407514192,1418.38458077104
"85",420.295734115182,205.063160265424,224.668358410982,1418.62871154044
"86",425.295942976814,205.028569794467,224.664425078114,1417.96773421667
